Branch_ID,Name,Street,City,State,Zipcode
0,Meembee,70579 American Circle,Huntington,WV,25716
1,Trilith,7721 Huxley Alley,Lexington,KY,40581
2,Mybuzz,56 Norway Maple Terrace,Tyler,TX,75799
3,Zoovu,12 Carioca Terrace,Minneapolis,MN,55428
4,Zoonder,8357 Elka Park,Huntington,WV,25775
5,Jabbersphere,11272 Birchwood Circle,Raleigh,NC,27626
6,Voolia,55 Anthes Park,Richmond,VA,23208
7,Bubbletube,64 Delaware Alley,Oklahoma City,OK,73147
8,Meetz,99063 Oak Circle,Modesto,CA,95354
9,Geba,0 Elmside Point,Spartanburg,SC,29319
10,Blogspan,840 Clarendon Trail,Evansville,IN,47747
11,Yombu,907 Eastlawn Park,Wichita,KS,67205
12,Skipfire,35975 Di Loreto Alley,Pensacola,FL,32595
13,Roomm,094 Schlimgen Road,Cincinnati,OH,45238
14,Linklinks,74572 Blackbird Way,Santa Barbara,CA,93106
15,Minyx,220 Tennyson Place,Hampton,VA,23663
16,Ailane,02526 Alpine Street,Evansville,IN,47747
17,Teklist,639 Bay Alley,Houston,TX,77218
18,Jabbertype,47 Vahlen Court,Beaufort,SC,29905
19,Trudoo,546 Katie Street,Houston,TX,77212
20,Bubblemix,82820 Esker Point,Richmond,VA,23228
21,Wikibox,5 Ruskin Way,Akron,OH,44305
22,Realbuzz,7 Farmco Way,Decatur,GA,30033
23,Flipbug,380 Briar Crest Street,El Paso,TX,88589
24,Brainverse,3 Johnson Place,Saint Petersburg,FL,33715
25,Mita,15 Bay Hill,Salt Lake City,UT,84152
26,Zazio,37309 Bultman Center,Pompano Beach,FL,33064
27,Cogilith,71218 Sheridan Pass,Honolulu,HI,96835
28,Yotz,87 Ridge Oak Trail,Springfield,IL,62764
29,Meedoo,2100 Lukken Terrace,El Paso,TX,88530
