Acct_No,Check_Limit
8,$97348.27
2,$34837.57
4,$58510.61
6,$50039.65
6,$26798.45
14,$69320.94
18,$30169.68
23,$95691.70
26,$43499.97
22,$47946.08
2,$511.14
15,$50267.10
22,$31400.02
2,$25796.27
9,$43423.70
2,$33666.94
28,$75854.92
20,$90349.62
21,$49225.73
22,$52956.84
27,$97212.28
21,$13463.06
25,$34652.80
24,$82480.10
27,$31500.02
19,$22907.55
5,$43648.26
5,$7213.01
5,$65490.67
21,$8400.61
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
