"","coefs"
"zipcode98032",-0.0965884015220786
"zipcode98023",-0.093337867653829
"zipcode98002",-0.0932004407859165
"zipcode98003",-0.0717771964790386
"zipcode98092",-0.067042465902523
"zipcode98022",-0.0663250567892021
"zipcode98198",-0.0568533134698002
"zipcode98030",-0.0551952392839914
"zipcode98042",-0.0534859491184174
"zipcode98031",-0.0433666769822472
"zipcode98168",-0.0426352143645704
"zipcode98188",-0.0315106001327423
"zipcode98055",-0.0190254592030473
"zipcode98178",-0.0156248216310519
"floors",-0.0100519865570592
"zipcode98058",-0.0100219425221988
"zipcode98038",-0.00785468603417623
"yr_built",-0.000281351886109651
"nyrs_since_last_renovation",-0.0000161548732893052
"sqft_lot",0.000000255201674351834
"sqft_above",0.0000283656759264387
"sqft_living15",0.0000383806511094503
"sqft_living",0.0000560352678422942
"daten",0.0000914265669922487
"bedrooms",0.000562895062272919
"bathrooms",0.0177159127572552
"zipcode98010",0.0245922328681354
"condition",0.0252133486509424
"view",0.0258730687308228
"grade",0.0411132100974249
"zipcode98146",0.0419271702018671
"zipcode98166",0.0475165506320574
"zipcode98056",0.047885335496785
"zipcode98014",0.0497041516007972
"zipcode98070",0.0552924388108338
"zipcode98106",0.0571230714215817
"zipcode98045",0.0572598291437132
"zipcode98059",0.0627084483136909
"zipcode98019",0.0634524311281248
"zipcode98108",0.0680479649544011
"zipcode98065",0.0859306630130395
"zipcode98024",0.095420202535872
"zipcode98028",0.0996886205972519
"zipcode98155",0.102619333288228
"zipcode98118",0.103801615295459
"zipcode98077",0.107961711667385
"zipcode98011",0.109575944704003
"zipcode98133",0.113382913292028
"zipcode98072",0.127148109329464
"zipcode98027",0.138721551611282
"zipcode98126",0.142169570943622
"zipcode98075",0.148548301251118
"zipcode98034",0.148820086235309
"zipcode98125",0.157367381428196
"zipcode98074",0.158894161580698
"zipcode98053",0.168188644501553
"zipcode98177",0.173796999492003
"zipcode98029",0.177604330792182
"zipcode98006",0.188208370946937
"zipcode98144",0.194340794239113
"zipcode98007",0.194779492611308
"waterfront",0.195004418981478
"zipcode98008",0.195292525732517
"zipcode98052",0.196270347403577
"zipcode98136",0.199084932203538
"zipcode98005",0.221828315422199
"zipcode98116",0.235634015497788
"zipcode98033",0.25096692533788
"zipcode98122",0.2546983772778
"zipcode98103",0.260376486737139
"zipcode98117",0.261853622603681
"zipcode98115",0.264158979207424
"zipcode98107",0.265660581435634
"zipcode98040",0.277469552906575
"zipcode98199",0.280882458017325
"zipcode98105",0.31455712325424
"zipcode98102",0.316892174299883
"zipcode98119",0.32022221530092
"zipcode98109",0.342598592585089
"zipcode98112",0.357256076056594
"zipcode98004",0.383976008251163
"zipcode98039",0.441121007059045
